station,valid,tmpf
PAO,2000-01-01 00:50,51.80
PAO,2000-01-01 01:47,51.80
PAO,2000-01-01 02:47,50.00
PAO,2000-01-01 03:57,51.80
PAO,2000-01-01 04:50,50.00
PAO,2000-01-01 14:50,50.00
PAO,2000-01-01 15:46,null
PAO,2000-01-01 16:46,50.00
PAO,2000-01-01 17:45,51.80
PAO,2000-01-01 19:52,51.80
PAO,2000-01-01 20:50,53.60
PAO,2000-01-01 21:46,53.60
PAO,2000-01-01 22:50,55.40
PAO,2000-01-01 23:47,53.60
PAO,2000-01-02 00:47,51.80
PAO,2000-01-02 01:46,51.80
PAO,2000-01-02 02:47,51.80
PAO,2000-01-02 03:47,50.00
PAO,2000-01-02 04:47,50.00
PAO,2000-01-02 14:46,33.80
PAO,2000-01-02 15:46,33.80
PAO,2000-01-02 16:45,41.00
PAO,2000-01-02 17:50,50.00
PAO,2000-01-02 18:49,50.00
PAO,2000-01-02 19:50,50.00
PAO,2000-01-02 20:50,51.80
PAO,2000-01-02 21:54,55.40
PAO,2000-01-02 22:47,55.40
PAO,2000-01-03 00:13,55.40
PAO,2000-01-03 00:47,51.80
PAO,2000-01-03 01:47,50.00
PAO,2000-01-03 02:47,50.00
PAO,2000-01-03 03:50,50.00
PAO,2000-01-03 04:45,44.60
PAO,2000-01-03 14:46,35.60
PAO,2000-01-03 15:46,37.40
PAO,2000-01-03 16:50,44.60
PAO,2000-01-03 17:45,50.00
PAO,2000-01-03 18:46,51.80
PAO,2000-01-03 19:46,55.40
PAO,2000-01-03 20:45,55.40
PAO,2000-01-03 21:45,57.20
PAO,2000-01-03 22:47,59.00
PAO,2000-01-03 23:47,59.00
PAO,2000-01-04 00:47,51.80
PAO,2000-01-04 01:47,50.00
PAO,2000-01-04 02:47,48.20
PAO,2000-01-04 03:46,44.60
PAO,2000-01-04 04:49,44.60
PAO,2000-01-04 14:45,37.40
PAO,2000-01-04 15:45,37.40
PAO,2000-01-04 16:50,44.60
PAO,2000-01-04 17:47,46.40
PAO,2000-01-04 18:50,50.00
PAO,2000-01-04 19:05,50.00
PAO,2000-01-04 19:50,53.60
PAO,2000-01-04 20:47,55.40
PAO,2000-01-04 21:47,55.40
PAO,2000-01-04 22:55,57.20
PAO,2000-01-04 23:50,55.40
PAO,2000-01-05 00:45,55.40
PAO,2000-01-05 01:47,55.40
PAO,2000-01-05 02:46,53.60
